mpa_exposure_class,year,boat_type,propulsion,vessels_monitored,total_vessels,boat_share,share_motorised,share_sail_row,share_other
10-25 km,2012,CAM,motorised,86,233,0.36909871244635195,0.5321888412017167,0.26609442060085836,0.2017167381974249
10-25 km,2012,CAR,other,6,233,0.02575107296137339,0.5321888412017167,0.26609442060085836,0.2017167381974249
10-25 km,2012,CAV,sail/row,20,233,0.08583690987124463,0.5321888412017167,0.26609442060085836,0.2017167381974249
10-25 km,2012,JAM,motorised,1,233,0.004291845493562232,0.5321888412017167,0.26609442060085836,0.2017167381974249
10-25 km,2012,JAV,sail/row,11,233,0.04721030042918455,0.5321888412017167,0.26609442060085836,0.2017167381974249
10-25 km,2012,PED,other,21,233,0.09012875536480687,0.5321888412017167,0.26609442060085836,0.2017167381974249
10-25 km,2012,PQM,motorised,16,233,0.06866952789699571,0.5321888412017167,0.26609442060085836,0.2017167381974249
10-25 km,2012,PQV,sail/row,13,233,0.055793991416309016,0.5321888412017167,0.26609442060085836,0.2017167381974249
10-25 km,2013,BMG,motorised,0,104,0.0,0.6153846153846154,0.21153846153846154,0.17307692307692307
10-25 km,2013,BMM,motorised,9,104,0.08653846153846154,0.6153846153846154,0.21153846153846154,0.17307692307692307
10-25 km,2013,BMP,motorised,1,104,0.009615384615384616,0.6153846153846154,0.21153846153846154,0.17307692307692307
10-25 km,2013,BOM,other,8,104,0.07692307692307693,0.6153846153846154,0.21153846153846154,0.17307692307692307
10-25 km,2013,BOV,sail/row,8,104,0.07692307692307693,0.6153846153846154,0.21153846153846154,0.17307692307692307
10-25 km,2013,CAM,motorised,48,104,0.46153846153846156,0.6153846153846154,0.21153846153846154,0.17307692307692307
10-25 km,2013,CAR,other,3,104,0.028846153846153848,0.6153846153846154,0.21153846153846154,0.17307692307692307
10-25 km,2013,CAV,sail/row,7,104,0.0673076923076923,0.6153846153846154,0.21153846153846154,0.17307692307692307
10-25 km,2013,JAM,motorised,0,104,0.0,0.6153846153846154,0.21153846153846154,0.17307692307692307
10-25 km,2013,JAV,sail/row,4,104,0.038461538461538464,0.6153846153846154,0.21153846153846154,0.17307692307692307
10-25 km,2013,PED,other,7,104,0.0673076923076923,0.6153846153846154,0.21153846153846154,0.17307692307692307
10-25 km,2013,PQM,motorised,6,104,0.057692307692307696,0.6153846153846154,0.21153846153846154,0.17307692307692307
10-25 km,2013,PQV,sail/row,3,104,0.028846153846153848,0.6153846153846154,0.21153846153846154,0.17307692307692307
10-25 km,2014,BMG,motorised,0,100,0.0,0.6,0.18,0.22
10-25 km,2014,BMM,motorised,5,100,0.05,0.6,0.18,0.22
10-25 km,2014,BMP,motorised,1,100,0.01,0.6,0.18,0.22
10-25 km,2014,BOM,other,10,100,0.1,0.6,0.18,0.22
10-25 km,2014,BOV,sail/row,8,100,0.08,0.6,0.18,0.22
10-25 km,2014,CAM,motorised,48,100,0.48,0.6,0.18,0.22
10-25 km,2014,CAR,other,4,100,0.04,0.6,0.18,0.22
10-25 km,2014,CAV,sail/row,6,100,0.06,0.6,0.18,0.22
10-25 km,2014,JAM,motorised,1,100,0.01,0.6,0.18,0.22
10-25 km,2014,JAV,sail/row,2,100,0.02,0.6,0.18,0.22
10-25 km,2014,PED,other,8,100,0.08,0.6,0.18,0.22
10-25 km,2014,PQM,motorised,5,100,0.05,0.6,0.18,0.22
10-25 km,2014,PQV,sail/row,2,100,0.02,0.6,0.18,0.22
10-25 km,2015,BMG,motorised,1,92,0.010869565217391304,0.6739130434782609,0.16304347826086957,0.16304347826086957
10-25 km,2015,BMM,motorised,9,92,0.09782608695652174,0.6739130434782609,0.16304347826086957,0.16304347826086957
10-25 km,2015,BMP,motorised,4,92,0.043478260869565216,0.6739130434782609,0.16304347826086957,0.16304347826086957
10-25 km,2015,BOM,other,6,92,0.06521739130434782,0.6739130434782609,0.16304347826086957,0.16304347826086957
10-25 km,2015,BOV,sail/row,7,92,0.07608695652173914,0.6739130434782609,0.16304347826086957,0.16304347826086957
10-25 km,2015,CAM,motorised,43,92,0.4673913043478261,0.6739130434782609,0.16304347826086957,0.16304347826086957
10-25 km,2015,CAR,other,2,92,0.021739130434782608,0.6739130434782609,0.16304347826086957,0.16304347826086957
10-25 km,2015,CAV,sail/row,4,92,0.043478260869565216,0.6739130434782609,0.16304347826086957,0.16304347826086957
10-25 km,2015,JAM,motorised,1,92,0.010869565217391304,0.6739130434782609,0.16304347826086957,0.16304347826086957
10-25 km,2015,JAV,sail/row,2,92,0.021739130434782608,0.6739130434782609,0.16304347826086957,0.16304347826086957
10-25 km,2015,PED,other,7,92,0.07608695652173914,0.6739130434782609,0.16304347826086957,0.16304347826086957
10-25 km,2015,PQM,motorised,4,92,0.043478260869565216,0.6739130434782609,0.16304347826086957,0.16304347826086957
10-25 km,2015,PQV,sail/row,2,92,0.021739130434782608,0.6739130434782609,0.16304347826086957,0.16304347826086957
10-25 km,2016,BMG,motorised,1,103,0.009708737864077669,0.6407766990291263,0.1650485436893204,0.1941747572815534
10-25 km,2016,BMM,motorised,10,103,0.0970873786407767,0.6407766990291263,0.1650485436893204,0.1941747572815534
10-25 km,2016,BMP,motorised,4,103,0.038834951456310676,0.6407766990291263,0.1650485436893204,0.1941747572815534
10-25 km,2016,BOM,other,10,103,0.0970873786407767,0.6407766990291263,0.1650485436893204,0.1941747572815534
10-25 km,2016,BOV,sail/row,7,103,0.06796116504854369,0.6407766990291263,0.1650485436893204,0.1941747572815534
10-25 km,2016,CAM,motorised,45,103,0.4368932038834951,0.6407766990291263,0.1650485436893204,0.1941747572815534
10-25 km,2016,CAR,other,3,103,0.02912621359223301,0.6407766990291263,0.1650485436893204,0.1941747572815534
10-25 km,2016,CAV,sail/row,6,103,0.05825242718446602,0.6407766990291263,0.1650485436893204,0.1941747572815534
10-25 km,2016,JAM,motorised,1,103,0.009708737864077669,0.6407766990291263,0.1650485436893204,0.1941747572815534
10-25 km,2016,JAV,sail/row,2,103,0.019417475728155338,0.6407766990291263,0.1650485436893204,0.1941747572815534
10-25 km,2016,PED,other,7,103,0.06796116504854369,0.6407766990291263,0.1650485436893204,0.1941747572815534
10-25 km,2016,PQM,motorised,5,103,0.04854368932038835,0.6407766990291263,0.1650485436893204,0.1941747572815534
10-25 km,2016,PQV,sail/row,2,103,0.019417475728155338,0.6407766990291263,0.1650485436893204,0.1941747572815534
10-25 km,2017,BMG,motorised,1,102,0.00980392156862745,0.6568627450980392,0.1568627450980392,0.18627450980392157
10-25 km,2017,BMM,motorised,6,102,0.058823529411764705,0.6568627450980392,0.1568627450980392,0.18627450980392157
10-25 km,2017,BMP,motorised,3,102,0.029411764705882353,0.6568627450980392,0.1568627450980392,0.18627450980392157
10-25 km,2017,BOM,other,7,102,0.06862745098039216,0.6568627450980392,0.1568627450980392,0.18627450980392157
10-25 km,2017,BOV,sail/row,7,102,0.06862745098039216,0.6568627450980392,0.1568627450980392,0.18627450980392157
10-25 km,2017,CAM,motorised,51,102,0.5,0.6568627450980392,0.1568627450980392,0.18627450980392157
10-25 km,2017,CAR,other,3,102,0.029411764705882353,0.6568627450980392,0.1568627450980392,0.18627450980392157
10-25 km,2017,CAV,sail/row,4,102,0.0392156862745098,0.6568627450980392,0.1568627450980392,0.18627450980392157
10-25 km,2017,JAM,motorised,1,102,0.00980392156862745,0.6568627450980392,0.1568627450980392,0.18627450980392157
10-25 km,2017,JAV,sail/row,2,102,0.0196078431372549,0.6568627450980392,0.1568627450980392,0.18627450980392157
10-25 km,2017,PED,other,9,102,0.08823529411764706,0.6568627450980392,0.1568627450980392,0.18627450980392157
10-25 km,2017,PQM,motorised,5,102,0.049019607843137254,0.6568627450980392,0.1568627450980392,0.18627450980392157
10-25 km,2017,PQV,sail/row,3,102,0.029411764705882353,0.6568627450980392,0.1568627450980392,0.18627450980392157
10-25 km,2018,BMG,motorised,1,69,0.014492753623188406,0.7971014492753623,0.08695652173913043,0.11594202898550725
