gear_type,year,gear_production_ton,year_total,share
sardinheira,2010,1147.0000000000002,5342.8460000000005,0.21467959211251833
tainheira,2010,545.634,5342.8460000000005,0.10212422368153601
tarrafa,2010,49.417,5342.8460000000005,0.009249190412750059
tresmalho,2010,93.139,5342.8460000000005,0.01743246951156743
arrasto de porta,2011,156.907,5028.452,0.03120383768205404
arrasto de praia,2011,1.559,5028.452,0.0003100357724405045
coleta manual,2011,206.06799999999998,5028.452,0.04098040510280301
compressor,2011,206.29999999999998,5028.452,0.041026542562204026
covo lagosta,2011,39.606,5028.452,0.00787638024584902
covo peixe,2011,144.13,5028.452,0.028662896652886412
covo peixe e lagosta,2011,24.312000000000005,5028.452,0.00483488755585218
curral,2011,8.338,5028.452,0.001658164381404058
jereré,2011,50.162,5028.452,0.009975634648595631
linha,2011,721.0310000000001,5028.452,0.14339025210939668
linha e covo lagosta,2011,13.485999999999999,5028.452,0.0026819386960440306
linha e covo peixe,2011,4.816000000000001,5028.452,0.0009577500192902309
linha e espinhel,2011,16.724,5028.452,0.0033258744440635007
linha e jereré,2011,805.197,5028.452,0.1601282064539942
linha e mergulho livre,2011,3.727,5028.452,0.0007411823758086981
linha e rede de espera,2011,84.57100000000001,5028.452,0.01681849603018981
mergulho livre,2011,27.150999999999996,5028.452,0.005399474828436265
puçá,2011,29.815,5028.452,0.0059292601381100984
rede agulha,2011,119.928,5028.452,0.023849884616577825
rede caçoeira,2011,96.51,5028.452,0.01919278537410718
rede de espera,2011,763.127,5028.452,0.15176181457036875
sardinheira,2011,667.937,5028.452,0.13283153543078466
tarrafa,2011,48.174,5028.452,0.00958028434993513
traineira,2011,512.456,5028.452,0.10191128402935934
tremalho,2011,276.42,5028.452,0.05497119192944469
arrasto de porta,2012,29.599999999999998,4616.2,0.006412200511243014
arrasto de praia,2012,16.8,4616.2,0.0036393570469217106
coleta manual,2012,106.30000000000001,4616.2,0.023027598457605828
compressor,2012,150.8,4616.2,0.03266756206403536
covo lagosta,2012,71.19999999999999,4616.2,0.015423941770287247
covo peixe,2012,119.0,4616.2,0.025778779082362115
covo peixe e lagosta,2012,16.3,4616.2,0.00353104284909666
curral,2012,35.7,4616.2,0.007733633724708636
jereré,2012,6.4,4616.2,0.0013864217321606516
linha,2012,862.9,4616.2,0.18692864260647285
linha e covo lagosta,2012,33.199999999999996,4616.2,0.00719206273558338
linha e covo peixe,2012,15.299999999999999,4616.2,0.0033144144534465575
linha e espinhel,2012,11.0,4616.2,0.00238291235215112
linha e jereré,2012,1017.5,4616.2,0.2204193925739786
linha e mergulho livre,2012,4.7,4616.2,0.0010181534595554787
linha e rede de espera,2012,120.7,4616.2,0.02614704735496729
mergulho livre,2012,22.6,4616.2,0.004895801741692301
puçá,2012,19.4,4616.2,0.004202590875611975
rede agulha,2012,177.7,4616.2,0.03849486590702309
rede caçoeira,2012,83.0,4616.2,0.017980156838958452
rede de espera,2012,892.9,4616.2,0.1934274944759759
rede de tapagem,2012,2.8,4616.2,0.0006065595078202851
sardinheira,2012,70.89999999999999,4616.2,0.015358953251592217
tarrafa,2012,65.6,4616.2,0.014210822754646678
traineira,2012,449.1,4616.2,0.09728781248646073
tremalho,2012,214.8,4616.2,0.046531779385641875
arrasto de porta,2013,22.299999999999997,5753.9,0.0038756321799127548
arrasto de praia,2013,12.299999999999999,5753.9,0.002137680529727663
coleta manual,2013,167.8,5753.9,0.029162828690105846
compressor,2013,143.7,5753.9,0.02497436521315977
covo lagosta,2013,110.19999999999999,5753.9,0.01915222718503971
covo peixe,2013,140.29999999999998,5753.9,0.024383461652096837
covo peixe e lagosta,2013,4.8,5753.9,0.0008342167920888441
curral,2013,6.9,5753.9,0.0011991866386277135
espinhel,2013,18.599999999999998,5753.9,0.003232590069344271
jereré,2013,2.4000000000000004,5753.9,0.00041710839604442216
linha,2013,1396.2,5753.9,0.24265280939884254
linha e covo lagosta,2013,15.6,5753.9,0.0027112045742887433
linha e covo peixe,2013,19.299999999999997,5753.9,0.003354246684857227
linha e espinhel,2013,23.8,5753.9,0.004136324927440519
linha e jereré,2013,1189.5,5753.9,0.20672934878951668
linha e mergulho livre,2013,6.800000000000001,5753.9,0.0011818071221258626
linha e rede de espera,2013,134.0,5753.9,0.02328855211248023
mergulho livre,2013,24.700000000000003,5753.9,0.0042927405759571775
puçá,2013,17.5,5753.9,0.003041415387823911
rede agulha,2013,183.0,5753.9,0.03180451519838718
rede caçoeira,2013,48.5,5753.9,0.008429065503397696
rede de espera,2013,1169.5,5753.9,0.2032534454891465
rede de tapagem,2013,4.6,5753.9,0.0007994577590851422
sardinheira,2013,105.2,5753.9,0.018283251359947166
tainheira,2013,501.5,5753.9,0.08715827525678237
tarrafa,2013,77.9,5753.9,0.013538643354941867
tresmalho,2013,207.0,5753.9,0.0359755991588314
arrasto de porta,2014,7.799999999999999,3731.2000000000003,0.002090480274442538
arrasto de praia,2014,2.0,3731.2000000000003,0.0005360205831903944
coleta manual,2014,41.9,3731.2000000000003,0.011229631217838763
compressor,2014,61.10000000000001,3731.2000000000003,0.016375428816466555
covo lagosta,2014,14.5,3731.2000000000003,0.00388614922813036
