local,year,species,sp_production_ton,rel_abundance
AREIA BRANCA,2013,Sardinha,0.1,6.873797085510035e-05
AREIA BRANCA,2013,Serra,41.09999999999999,0.028251306021446234
AREIA BRANCA,2013,Siri,0.1,6.873797085510035e-05
AREIA BRANCA,2013,Sirigado,14.7,0.010104481715699751
AREIA BRANCA,2013,Tainha,3.0,0.0020621391256530103
AREIA BRANCA,2013,Tilapia,0.0,0.0
AREIA BRANCA,2014,Agulha,4.5,0.003386259312213108
AREIA BRANCA,2014,Albacora,1126.9,0.8479945819851005
AREIA BRANCA,2014,Arabaiana,1.4,0.0010535028971329669
AREIA BRANCA,2014,Ariaco,17.0,0.012792535179471742
AREIA BRANCA,2014,Arraia,2.6,0.001956505380389796
AREIA BRANCA,2014,Bagre,3.6,0.0027090074497704867
AREIA BRANCA,2014,Biquara,3.5,0.0026337572428324174
AREIA BRANCA,2014,Bonito,17.7,0.013319286628038225
AREIA BRANCA,2014,Buzios,0.0,0.0
AREIA BRANCA,2014,Caico,7.5,0.00564376552035518
AREIA BRANCA,2014,Camarao,0.1,7.525020693806908e-05
AREIA BRANCA,2014,Camurim,2.3,0.0017307547595755886
AREIA BRANCA,2014,Camurupim,2.5,0.0018812551734517268
AREIA BRANCA,2014,Caranguejo,0.0,0.0
AREIA BRANCA,2014,Carapeba,2.6,0.001956505380389796
AREIA BRANCA,2014,Cavala,5.4,0.0040635111746557305
AREIA BRANCA,2014,Caçao,5.3,0.003988260967717661
AREIA BRANCA,2014,Cioba,16.3,0.01226578373090526
AREIA BRANCA,2014,Cururuca,8.7,0.006546768003612009
AREIA BRANCA,2014,Dentao,1.4,0.0010535028971329669
AREIA BRANCA,2014,Dourado,8.1,0.0060952667619835945
AREIA BRANCA,2014,Espada,0.1,7.525020693806908e-05
AREIA BRANCA,2014,Garabebeu,0.0,0.0
AREIA BRANCA,2014,Garajuba,12.2,0.009180525246444426
AREIA BRANCA,2014,Garoupa,0.1,7.525020693806908e-05
AREIA BRANCA,2014,Guaiuba,6.5,0.00489126345097449
AREIA BRANCA,2014,Lagosta,29.9,0.02249981187448265
AREIA BRANCA,2014,Marisco,0.0,0.0
AREIA BRANCA,2014,Outros,12.0,0.00903002483256829
AREIA BRANCA,2014,Pargo,1.2,0.0009030024832568288
AREIA BRANCA,2014,Paru,1.4,0.0010535028971329669
AREIA BRANCA,2014,Peixe Galo,0.7,0.0005267514485664834
AREIA BRANCA,2014,Peixe Voador,0.0,0.0
AREIA BRANCA,2014,Pescada,3.2,0.0024080066220182107
AREIA BRANCA,2014,Polvo,0.0,0.0
AREIA BRANCA,2014,Salema,1.3,0.000978252690194898
AREIA BRANCA,2014,Sardinha,0.1,7.525020693806908e-05
AREIA BRANCA,2014,Serra,18.7,0.014071788697418916
AREIA BRANCA,2014,Siri,0.0,0.0
AREIA BRANCA,2014,Sirigado,3.0,0.0022575062081420724
AREIA BRANCA,2014,Tainha,1.1,0.0008277522763187599
AREIA BRANCA,2014,Tilapia,0.0,0.0
AREIA BRANCA,2015,Agulha,12.1,0.005675688353112247
AREIA BRANCA,2015,Agulhao,1.3,0.0006097846990947043
AREIA BRANCA,2015,Albacora,1893.1,0.8879872414278343
AREIA BRANCA,2015,Arabaiana,1.7,0.0007974107603546132
AREIA BRANCA,2015,Ariaco,11.1,0.005206623199962474
AREIA BRANCA,2015,Arraia,6.2,0.0029082039495285893
AREIA BRANCA,2015,Bagre,1.5,0.0007035977297246588
AREIA BRANCA,2015,Beijupira,0.2,9.38130306299545e-05
AREIA BRANCA,2015,Bicuda,0.3,0.00014071954594493174
AREIA BRANCA,2015,Biquara,0.6,0.0002814390918898635
AREIA BRANCA,2015,Bonito,37.8,0.017730662789061397
AREIA BRANCA,2015,Budiao,0.1,4.690651531497725e-05
AREIA BRANCA,2015,Buzios,0.0,0.0
AREIA BRANCA,2015,Caico,2.2,0.0010319433369294995
AREIA BRANCA,2015,Camarao,0.0,0.0
AREIA BRANCA,2015,Camurim,0.8,0.000375252122519818
AREIA BRANCA,2015,Camurupim,1.9,0.0008912237909845677
AREIA BRANCA,2015,Cangulo,0.6,0.0002814390918898635
AREIA BRANCA,2015,Caranguejo,0.0,0.0
AREIA BRANCA,2015,Carapeba,1.3,0.0006097846990947043
AREIA BRANCA,2015,Carauna,0.1,4.690651531497725e-05
