platform_exposure_class,year,boat_type,propulsion,vessels_monitored,total_vessels,boat_share,share_motorised,share_sail_row,share_other
20-50 km,2015,PQV,sail/row,13,601,0.021630615640599003,0.6073211314475874,0.20133111480865223,0.1913477537437604
20-50 km,2016,BMG,motorised,27,587,0.04599659284497445,0.5672913117546848,0.23339011925042588,0.19931856899488926
20-50 km,2016,BMM,motorised,100,587,0.17035775127768313,0.5672913117546848,0.23339011925042588,0.19931856899488926
20-50 km,2016,BMP,motorised,27,587,0.04599659284497445,0.5672913117546848,0.23339011925042588,0.19931856899488926
20-50 km,2016,BOM,other,83,587,0.141396933560477,0.5672913117546848,0.23339011925042588,0.19931856899488926
20-50 km,2016,BOV,sail/row,86,587,0.1465076660988075,0.5672913117546848,0.23339011925042588,0.19931856899488926
20-50 km,2016,CAM,motorised,128,587,0.21805792163543442,0.5672913117546848,0.23339011925042588,0.19931856899488926
20-50 km,2016,CAR,other,5,587,0.008517887563884156,0.5672913117546848,0.23339011925042588,0.19931856899488926
20-50 km,2016,CAV,sail/row,13,587,0.022146507666098807,0.5672913117546848,0.23339011925042588,0.19931856899488926
20-50 km,2016,JAM,motorised,38,587,0.06473594548551959,0.5672913117546848,0.23339011925042588,0.19931856899488926
20-50 km,2016,JAV,sail/row,22,587,0.03747870528109029,0.5672913117546848,0.23339011925042588,0.19931856899488926
20-50 km,2016,PED,other,29,587,0.049403747870528106,0.5672913117546848,0.23339011925042588,0.19931856899488926
20-50 km,2016,PQM,motorised,13,587,0.022146507666098807,0.5672913117546848,0.23339011925042588,0.19931856899488926
20-50 km,2016,PQV,sail/row,16,587,0.027257240204429302,0.5672913117546848,0.23339011925042588,0.19931856899488926
20-50 km,2017,BMG,motorised,22,521,0.04222648752399232,0.5604606525911708,0.21880998080614203,0.22072936660268713
20-50 km,2017,BMM,motorised,83,521,0.15930902111324377,0.5604606525911708,0.21880998080614203,0.22072936660268713
20-50 km,2017,BMP,motorised,22,521,0.04222648752399232,0.5604606525911708,0.21880998080614203,0.22072936660268713
20-50 km,2017,BOM,other,79,521,0.15163147792706333,0.5604606525911708,0.21880998080614203,0.22072936660268713
20-50 km,2017,BOV,sail/row,67,521,0.12859884836852206,0.5604606525911708,0.21880998080614203,0.22072936660268713
20-50 km,2017,CAM,motorised,119,521,0.22840690978886757,0.5604606525911708,0.21880998080614203,0.22072936660268713
20-50 km,2017,CAR,other,4,521,0.007677543186180422,0.5604606525911708,0.21880998080614203,0.22072936660268713
20-50 km,2017,CAV,sail/row,9,521,0.01727447216890595,0.5604606525911708,0.21880998080614203,0.22072936660268713
20-50 km,2017,JAM,motorised,33,521,0.06333973128598848,0.5604606525911708,0.21880998080614203,0.22072936660268713
20-50 km,2017,JAV,sail/row,24,521,0.046065259117082535,0.5604606525911708,0.21880998080614203,0.22072936660268713
20-50 km,2017,PED,other,32,521,0.061420345489443376,0.5604606525911708,0.21880998080614203,0.22072936660268713
20-50 km,2017,PQM,motorised,13,521,0.02495201535508637,0.5604606525911708,0.21880998080614203,0.22072936660268713
