local,year,production_ton,assisted_trips,fleet_monitored,estimated_fishermen,cpue_ton_per_trip,platform_exposure_class,mpa_exposure_class,cpue_per_vessel,cpue_per_fisherman,log_fleet,log_fishermen,log_fleet_c,log_fishermen_c,year_c,log_cpue
CAICARA DO NORTE,2022,898.67,8280,191.8,531.1,0.1085350241545893,20-50 km,25-50 km,4.685453597497393,1.6920918847674635,5.256453162449338,6.274950327428353,0.8095170862198966,0.9103746800078669,8.0,-2.220682354823284
CAICARA DO NORTE,2023,999.63,8953,140.0,539.5,0.1116530771808332,20-50 km,25-50 km,7.140214285714285,1.852882298424467,4.941642422609304,6.290642784698189,0.49470634637986244,0.9260671372777027,9.0,-2.1923587401189084
CAICARA DO NORTE,2024,784.3,6922,166.8,436.0,0.1133054030626986,20-50 km,25-50 km,4.702038369304556,1.7988532110091742,5.116795489924646,6.077642243349034,0.669859413695205,0.7130665959285478,10.0,-2.177668423976669
GALINHOS,2004,40.3,814,61.0,151.49,0.0495085995085995,20-50 km,10-25 km,0.660655737704918,0.2660241600105617,4.110873864173311,5.020519616170232,-0.33606221205613007,-0.3440560312502541,-10.0,-3.0056088970499033
GALINHOS,2005,27.3,735,74.0,162.8,0.0371428571428571,20-50 km,10-25 km,0.3689189189189189,0.16769041769041768,4.30406509320417,5.09252245356844,-0.14287098302527124,-0.27205319385204607,-9.0,-3.2929837970219236
GALINHOS,2007,20.31,828,80.0,167.41,0.0245289855072463,20-50 km,10-25 km,0.25387499999999996,0.12131891762738187,4.382026634673881,5.120445893427694,-0.06490944155556022,-0.2441297539927927,-7.0,-3.7078997787929695
GALINHOS,2008,148.38,3849,128.0,292.29,0.0385502727981293,20-50 km,10-25 km,1.15921875,0.5076465154469876,4.852030263919617,5.67774646010536,0.40509418769017547,0.31317081268487357,-6.0,-3.2557921025223684
GALINHOS,2009,207.233,3828,131.0,151.5,0.0541361024033437,20-50 km,10-25 km,1.5819312977099238,1.367874587458746,4.875197323201151,5.020585624949423,0.42826124697170975,-0.34399002247106303,-5.0,-2.9162539884598
GALINHOS,2010,246.633,4718,149.0,199.0,0.0522749046206019,20-50 km,10-25 km,1.655255033557047,1.239361809045226,5.003946305945459,5.293304824724492,0.5570102297160178,-0.07127082269599416,-4.0,-2.95123885823913
GALINHOS,2011,237.15,4703,174.0,185.5,0.0504252604720391,20-50 km,10-25 km,1.3629310344827588,1.2784366576819408,5.159055299214529,5.22305488204749,0.7121192229850877,-0.14152076537299685,-3.0,-2.9872630296214577
GALINHOS,2012,219.5,4779,146.0,166.0,0.0459301109018623,20-50 km,10-25 km,1.5034246575342465,1.322289156626506,4.983606621708336,5.111987788356544,0.5366705454788949,-0.25258785906394277,-2.0,-3.0806343660629323
GALINHOS,2013,214.7,4202,132.0,252.75,0.051094716801523,20-50 km,10-25 km,1.6265151515151515,0.849455984174085,4.882801922586371,5.532400857900581,0.43586584635692915,0.16782521048009436,-1.0,-2.974074176520212
GALINHOS,2014,94.22,1738,60.0,139.0,0.0542117376294591,20-50 km,10-25 km,1.5703333333333334,0.677841726618705,4.0943445622221,4.9344739331306915,-0.352591514007341,-0.43010171428979493,0.0,-2.914857832553443
GALINHOS,2015,89.2,1586,56.0,127.0,0.0562421185372005,20-50 km,10-25 km,1.592857142857143,0.7023622047244095,4.02535169073515,4.844187086458591,-0.4215843854942918,-0.5203885609618952,1.0,-2.8780893626088297
GALINHOS,2016,202.3,1388,55.0,134.0,0.1457492795389049,20-50 km,10-25 km,3.678181818181818,1.5097014925373136,4.007333185232471,4.897839799950911,-0.43960289099697025,-0.4667358474695753,2.0,-1.92586739689305
