local,year,fleet_monitored,assisted_trips,estimated_fishermen,production_ton,fishermen_per_vessel,cpue_ton_per_trip,cpue_per_fisherman
PORTO DO MANGUE,2017,116.0,4348,244.0,529.0,2.103448275862069,0.12166513339466421,2.168032786885246
PORTO DO MANGUE,2018,111.0,2996,279.0,150.24,2.5135135135135136,0.050146862483311086,0.538494623655914
PORTO DO MANGUE,2019,111.0,7740,295.0,398.551,2.6576576576576576,0.05149237726098191,1.3510203389830509
PORTO DO MANGUE,2020,101.0,6156,290.0,321.68,2.871287128712871,0.05225471085120208,1.1092413793103448
PORTO DO MANGUE,2021,111.0,7032,300.2,354.64167,2.7045045045045044,0.05043254692832764,1.1813513324450367
PORTO DO MANGUE,2022,117.9,6901,278.3,649.24,2.3604749787955894,0.09407911896826547,2.332878189004671
PORTO DO MANGUE,2023,101.0,6850,273.7,546.13,2.7099009900990096,0.07972700729927007,1.9953598830836683
PORTO DO MANGUE,2024,106.0,4918,246.0,393.6,2.3207547169811322,0.08003253355022368,1.6
TIBAU,2008,2.0,4,6.0,2.56,3.0,,0.4266666666666667
TIBAU,2009,19.0,513,85.0,36.267,4.473684210526316,0.07069590643274855,0.42667058823529413
TIBAU,2010,40.0,1360,71.0,39.521,1.775,0.029059558823529414,0.5566338028169014
TIBAU,2011,85.0,1100,55.5,42.845,0.6529411764705882,0.03895,0.771981981981982
TIBAU,2012,18.0,885,34.5,35.8,1.9166666666666667,0.04045197740112994,1.0376811594202897
TIBAU,2013,14.0,761,26.5,41.4,1.8928571428571428,0.054402102496714844,1.562264150943396
TIBAU,2014,5.0,367,23.0,12.37,4.6,0.033705722070844685,0.5378260869565217
TIBAU,2015,9.0,362,37.0,16.7,4.111111111111111,0.04613259668508287,0.45135135135135135
TIBAU,2016,6.0,482,31.0,35.2,5.166666666666667,0.07302904564315353,1.135483870967742
TIBAU,2017,14.0,482,31.0,33.0,2.2142857142857144,0.06846473029045644,1.064516129032258
TIBAU,2018,12.0,483,50.0,34.15,4.166666666666667,0.070703933747412,0.6829999999999999
TIBAU,2019,7.0,2295,36.0,33.977,5.142857142857143,0.014804793028322438,0.9438055555555555
TIBAU,2020,6.0,651,33.0,17.84,5.5,0.027403993855606757,0.5406060606060606
TIBAU,2021,7.0,671,30.8,12.84931,4.4,0.019149493293591655,0.4171853896103896
TIBAU,2022,12.9,659,26.4,16.07,2.0465116279069764,0.024385432473444612,0.6087121212121213
TIBAU,2023,6.0,671,25.6,23.15,4.266666666666667,0.03450074515648286,0.9042968749999999
TIBAU,2024,5.5,667,27.0,17.2,4.909090909090909,0.02578710644677661,0.637037037037037
