local,year,boat_type,vessels_monitored,fleet_production_ton,zero_production_flag
CAICARA DO NORTE,2022,JAM,15,24.0,False
CAICARA DO NORTE,2022,JAV,0,0.0,True
CAICARA DO NORTE,2022,PED,0,0.0,True
CAICARA DO NORTE,2022,PQM,2,2.0,False
CAICARA DO NORTE,2022,PQV,1,0.0,True
CAICARA DO NORTE,2023,BMG,0,0.0,True
CAICARA DO NORTE,2023,BMM,89,499.0,False
CAICARA DO NORTE,2023,BMP,12,58.0,False
CAICARA DO NORTE,2023,BOM,35,311.0,False
CAICARA DO NORTE,2023,BOV,1,2.0,False
CAICARA DO NORTE,2023,CAM,38,98.0,False
CAICARA DO NORTE,2023,CAR,0,0.0,True
CAICARA DO NORTE,2023,CAV,0,0.0,True
CAICARA DO NORTE,2023,JAM,16,28.0,False
CAICARA DO NORTE,2023,JAV,0,0.0,True
CAICARA DO NORTE,2023,PED,0,0.0,True
CAICARA DO NORTE,2023,PQM,2,3.0,False
CAICARA DO NORTE,2023,PQV,1,0.0,True
CAICARA DO NORTE,2024,BMG,0,0.0,True
CAICARA DO NORTE,2024,BMM,78,422.0,False
CAICARA DO NORTE,2024,BMP,12,42.0,False
CAICARA DO NORTE,2024,BOM,31,218.0,False
CAICARA DO NORTE,2024,BOV,1,1.0,False
CAICARA DO NORTE,2024,CAM,33,79.0,False
CAICARA DO NORTE,2024,CAR,1,0.0,True
CAICARA DO NORTE,2024,CAV,0,0.0,True
CAICARA DO NORTE,2024,JAM,14,22.0,False
CAICARA DO NORTE,2024,JAV,0,0.0,True
CAICARA DO NORTE,2024,PED,0,0.0,True
CAICARA DO NORTE,2024,PQM,1,1.0,False
CAICARA DO NORTE,2024,PQV,1,0.0,True
GALINHOS,2004,BMP,4,1.16,False
GALINHOS,2004,BOV,25,28.33,False
GALINHOS,2004,CAV,25,6.92,False
GALINHOS,2004,PED,1,1.71,False
GALINHOS,2004,PQM,6,2.18,False
GALINHOS,2005,BMP,5,3.19,False
GALINHOS,2005,BOV,18,12.1,False
GALINHOS,2005,CAV,49,10.83,False
GALINHOS,2005,PQM,4,1.18,False
GALINHOS,2007,BMP,5,3.09,False
GALINHOS,2007,BOV,7,2.48,False
GALINHOS,2007,CAM,14,1.38,False
GALINHOS,2007,CAV,43,9.6,False
GALINHOS,2007,PED,2,0.86,False
GALINHOS,2007,PQM,13,2.9,False
GALINHOS,2008,BMP,13,18.23,False
GALINHOS,2008,BOV,18,32.58,False
GALINHOS,2008,CAM,37,34.09,False
GALINHOS,2008,CAV,51,31.1,False
GALINHOS,2008,JAV,5,14.21,False
GALINHOS,2008,PED,4,0.11,False
