local,year,species,sp_production_ton
AREIA BRANCA,2017,Camurupim,3.3
AREIA BRANCA,2017,Caranguejo,0.0
AREIA BRANCA,2017,Carapeba,3.3
AREIA BRANCA,2017,Cavala,10.4
AREIA BRANCA,2017,Caçao,8.3
AREIA BRANCA,2017,Cururuca,14.5
AREIA BRANCA,2017,Dentao,7.0
AREIA BRANCA,2017,Dourado,22.0
AREIA BRANCA,2017,Garabebeu,0.0
AREIA BRANCA,2017,Garajuba,33.7
AREIA BRANCA,2017,Garoupa,0.4
AREIA BRANCA,2017,Guaiuba,10.1
AREIA BRANCA,2017,Lagosta,77.5
AREIA BRANCA,2017,Marisco,0.1
AREIA BRANCA,2017,Outros,41.8
AREIA BRANCA,2017,Pargo,3.1
AREIA BRANCA,2017,Paru,3.7
AREIA BRANCA,2017,Peixe Galo,2.1
AREIA BRANCA,2017,Peixe Voador,26.7
AREIA BRANCA,2017,Polvo,0.1
AREIA BRANCA,2017,Salema,1.9
AREIA BRANCA,2017,Sardinha,12.2
AREIA BRANCA,2017,Serra,58.6
AREIA BRANCA,2017,Siri,0.1
AREIA BRANCA,2017,Sirigado,8.3
AREIA BRANCA,2017,Tainha,12.2
AREIA BRANCA,2017,Tilapia,0.0
AREIA BRANCA,2018,Agulha,0.3
AREIA BRANCA,2018,Agulhao,0.8
AREIA BRANCA,2018,Albacora,1890.7
AREIA BRANCA,2018,Arabaiana,0.5
AREIA BRANCA,2018,Ariaco,4.4
AREIA BRANCA,2018,Arraia,4.8
AREIA BRANCA,2018,Bagre,0.9
AREIA BRANCA,2018,Beijupira,0.2
AREIA BRANCA,2018,Bicuda,1.0
AREIA BRANCA,2018,Biquara,0.3
AREIA BRANCA,2018,Bonito,247.3
AREIA BRANCA,2018,Budiao,0.5
AREIA BRANCA,2018,Buzios,0.0
AREIA BRANCA,2018,Caico,4.4
AREIA BRANCA,2018,Camarao,0.0
AREIA BRANCA,2018,Camurim,0.3
AREIA BRANCA,2018,Camurupim,1.5
AREIA BRANCA,2018,Cangulo,1.3
AREIA BRANCA,2018,Caranguejo,0.0
AREIA BRANCA,2018,Carapeba,0.1
AREIA BRANCA,2018,Carauna,0.0
AREIA BRANCA,2018,Cavala,6.5
AREIA BRANCA,2018,Caçao,1.2
AREIA BRANCA,2018,Cioba,6.3
AREIA BRANCA,2018,Cururuca,1.0
AREIA BRANCA,2018,Dentao,0.4
AREIA BRANCA,2018,Dourado,18.4
AREIA BRANCA,2018,Espada,0.0
AREIA BRANCA,2018,Garabebeu,0.0
AREIA BRANCA,2018,Garajuba,7.8
AREIA BRANCA,2018,Garoupa,0.0
AREIA BRANCA,2018,Guaiuba,3.4
AREIA BRANCA,2018,Lagosta,14.8
AREIA BRANCA,2018,Marisco,0.0
AREIA BRANCA,2018,Outros,42.8
AREIA BRANCA,2018,Ova Voador,0.0
AREIA BRANCA,2018,Pampo,0.1
AREIA BRANCA,2018,Pargo,0.4
AREIA BRANCA,2018,Paru,0.1
AREIA BRANCA,2018,Peixe Galo,0.9
AREIA BRANCA,2018,Peixe Voador,0.0
AREIA BRANCA,2018,Pescada,7.3
AREIA BRANCA,2018,Pirauna,0.0
AREIA BRANCA,2018,Polvo,0.0
AREIA BRANCA,2018,Salema,0.2
AREIA BRANCA,2018,Sardinha,0.1
AREIA BRANCA,2018,Serra,9.6
AREIA BRANCA,2018,Siri,0.0
AREIA BRANCA,2018,Sirigado,2.2
AREIA BRANCA,2018,Tainha,0.3
AREIA BRANCA,2018,Tilapia,0.0
AREIA BRANCA,2018,Ubarana,0.1
AREIA BRANCA,2018,Xareu,0.3
AREIA BRANCA,2019,Agulha,10.65
AREIA BRANCA,2019,Agulhao,10.8
AREIA BRANCA,2019,Albacora,3572.65
AREIA BRANCA,2019,Arabaiana,21.2
AREIA BRANCA,2019,Ariaco,25.4
AREIA BRANCA,2019,Arraia,14.89
AREIA BRANCA,2019,Bagre,3.08
AREIA BRANCA,2019,Beijupira,0.57
AREIA BRANCA,2019,Bicuda,4.16
AREIA BRANCA,2019,Biquara,5.52
AREIA BRANCA,2019,Bonito,142.5
AREIA BRANCA,2019,Budiao,2.54
AREIA BRANCA,2019,Buzios,0.0
AREIA BRANCA,2019,Caico,6.57
AREIA BRANCA,2019,Camarao,0.0
AREIA BRANCA,2019,Camurim,1.71
AREIA BRANCA,2019,Camurupim,2.05
AREIA BRANCA,2019,Cangulo,1.29
AREIA BRANCA,2019,Caranguejo,0.0
AREIA BRANCA,2019,Carapeba,1.58
AREIA BRANCA,2019,Carauna,0.86
AREIA BRANCA,2019,Cavala,15.39
AREIA BRANCA,2019,Caçao,3.56
AREIA BRANCA,2019,Cioba,24.31
AREIA BRANCA,2019,Cururuca,9.16
AREIA BRANCA,2019,Dentao,1.26
AREIA BRANCA,2019,Dourado,25.63
AREIA BRANCA,2019,Espada,1.78
AREIA BRANCA,2019,Garabebeu,0.05
AREIA BRANCA,2019,Garajuba,14.21
AREIA BRANCA,2019,Garoupa,0.04
AREIA BRANCA,2019,Guaiuba,10.95
AREIA BRANCA,2019,Lagosta,17.7
AREIA BRANCA,2019,Marisco,0.02
AREIA BRANCA,2019,Outros,64.22
AREIA BRANCA,2019,Ova Voador,0.01
AREIA BRANCA,2019,Pampo,0.61
AREIA BRANCA,2019,Pargo,2.01
AREIA BRANCA,2019,Paru,2.14
AREIA BRANCA,2019,Peixe Galo,4.74
AREIA BRANCA,2019,Peixe Voador,0.0
AREIA BRANCA,2019,Pescada,10.82
AREIA BRANCA,2019,Pirauna,0.11
AREIA BRANCA,2019,Polvo,0.12
AREIA BRANCA,2019,Salema,4.55
AREIA BRANCA,2019,Saramunete,0.33
AREIA BRANCA,2019,Sardinha,0.29
AREIA BRANCA,2019,Serra,14.21
